,nodeA,nodeB,weight
707,Bush,Richard Nixon,4
708,Bush,Zhou Enlai,4
709,Bush,Mao,4
710,Bush,Nixon,4
711,Bush,Lauer,4
712,Bush,Ted Cruz,35
713,Bush,Gadhafi,8
714,Bush,Rachel Maddow,4
715,Bush,Maddow,12
716,Condoleezza Rice,Nouri al-Maliki,1
717,Condoleezza Rice,Leon Panetta,1
718,Condoleezza Rice,Maliki,1
719,Condoleezza Rice,Raul Castro,1
720,Condoleezza Rice,Salman,1
721,Condoleezza Rice,Ronald Reagan,1
722,Condoleezza Rice,Reagan,1
723,Condoleezza Rice,Helmut Kohl,1
724,Condoleezza Rice,Glenn Kessler,1
725,Condoleezza Rice,Kessler,2
726,Condoleezza Rice,Richard Nixon,1
727,Condoleezza Rice,Zhou Enlai,1
728,Condoleezza Rice,Mao,1
729,Condoleezza Rice,Nixon,1
730,Condoleezza Rice,Lauer,1
731,Condoleezza Rice,Ted Cruz,1
732,Condoleezza Rice,Gadhafi,2
733,Condoleezza Rice,Rachel Maddow,1
