,degree,betweenness,eigenvector
M. Daniele Paserman,0.002793296089385475,0.0,0.004411864204633305
Lisa Murkowski,0.002793296089385475,0.0,0.004411864204633305
Maria Cantwell,0.002793296089385475,0.0,0.004411864204633305
Mikulski,0.002793296089385475,0.0,0.004411864204633305
Barbara Mikulski,0.002793296089385475,0.0,0.004411864204633305
Michele Swers,0.002793296089385475,0.0,0.004411864204633305
Swers,0.002793296089385475,0.0,0.004411864204633305
John Sununu,0.002793296089385475,0.0,0.004411864204633305
Liz Shuler,0.002793296089385475,0.0,0.004411864204633305
Shuler,0.002793296089385475,0.0,0.004411864204633305
Alice H.,0.002793296089385475,0.0,0.004411864204633305
Margaret Thatcher,0.002793296089385475,0.0,0.004411864204633305
Golda Meir,0.002793296089385475,0.0,0.004411864204633305
Tim Cook,0.002793296089385475,0.0,0.004411864204633305
Sylvia Larsen,0.002793296089385475,0.0,0.004411864204633305
Ask Ayotte,0.002793296089385475,0.0,0.004411864204633305
Ruth Griffin,0.002793296089385475,0.0,0.004411864204633305
Griffin,0.002793296089385475,0.0,0.004411864204633305
Marilla Ricker,0.002793296089385475,0.0,0.004411864204633305
Susan McLane,0.002793296089385475,0.0,0.004411864204633305
McLane,0.002793296089385475,0.0,0.004411864204633305
Ann McLane Kuster,0.002793296089385475,0.0,0.004411864204633305
Sununu,0.002793296089385475,0.0,0.004411864204633305
Vesta Roy,0.002793296089385475,0.0,0.004411864204633305
Debbie Walsh,0.002793296089385475,0.0,0.004411864204633305
Walsh,0.002793296089385475,0.0,0.004411864204633305
Jennifer Horn,0.002793296089385475,0.0,0.004411864204633305
Horn,0.002793296089385475,0.0,0.004411864204633305
Dannel Malloy,0.002793296089385475,0.0,0.0040844050005203955
Barney Frank,0.002793296089385475,0.0,0.0040844050005203955
Frank ,0.002793296089385475,0.0,0.0040844050005203955
Brad Deutsch,0.002793296089385475,0.0,0.0040844050005203955
Jim Roosevelt,0.002793296089385475,0.0,0.0040844050005203955
